Index,Collisions,Hash
740,42,M711AJ
741,46,X626BL
742,48,M280VF
743,205,F658AS
744,140,O382KE
745,206,B418SN
746,135,B345TM
747,48,W546EL
748,27,L111NU
749,134,D671NC
750,74,R003ZK
751,42,B101RE
752,11,A354KL
753,43,X089RK
754,121,K038BE
755,170,C315AP
756,93,X336RM
757,97,U494OR
758,168,L976DG
759,58,A236FK
760,39,C238QK
761,80,J689VH
762,215,Y028HQ
763,121,I560TP
764,243,X935UA
765,48,Q232QU
766,21,O913KC
767,12,A692FG
768,51,F141DM
769,63,M130IH
770,44,P307RI
771,42,L822CY
772,170,C398VA
773,149,G158JN
774,205,B568XD
775,155,H429JO
776,51,Q269JL
777,9,P969FE
778,133,T200IO
779,96,S372WE
780,77,D534BJ
781,8,A513DW
782,18,G558RW
783,119,N420FD
784,180,G805AI
785,122,U434ZJ
786,110,W386UK
787,139,V486EA
788,65,N022IC
789,56,V179WQ
790,54,S891KP
791,196,R833QL
792,119,W169AQ
793,220,I010IZ
794,65,P307XM
795,35,J723GN
796,5,D193LC
797,58,E091DK
798,69,E314TB
799,58,B656OT
800,44,L858MG
801,151,Y027DI
802,113,C366VF
803,190,N469NC
804,175,Q222HR
805,77,O367XB
806,10,T646GI
807,124,F190DF
808,74,B196XR
809,83,A743GG
810,35,I354JG
811,41,Y930JY
812,99,S400FB
813,202,B211IP
814,131,D941YZ
815,98,Y992JR
816,136,B824GE
817,48,E614DK
818,36,O683VZ
819,61,Z077CV
820,203,X724QH
821,93,M380NT
822,236,W722FF
823,52,W085VF
824,35,A847BV
825,40,H340AV
826,58,Q318AA
827,45,G526OA
828,32,P528GQ
829,50,X471DN
830,191,B833UK
831,100,L556FM
832,209,X715CK
833,173,H504TM
834,65,V543CU
835,26,Z194EH
836,143,M897IB
837,69,X255ET
838,93,C306EM
839,37,O224DL
840,45,V132TY
841,124,K236CG
842,179,E602EN
843,123,Y277YD
844,88,T265VS
845,174,P100FF
846,49,K453CF
847,19,P745RG
848,49,Z617VD
849,249,U604FZ
850,101,J652SQ
851,205,W076CH
852,28,K775JY
853,52,J554HM
854,37,C930FM
855,68,C477DG
856,66,P102FL
857,32,P756KK
858,35,K556UG
859,192,F178GT
860,117,S327HI
861,197,M784JJ
862,165,U310BX
863,77,F918UN
864,34,E372LY
865,175,H590LO
866,67,K767UJ
867,75,F271CL
868,32,G412QI
869,47,Z084VN
870,123,L715CE
871,181,E052HM
872,94,S723OY
873,57,Y861SP
874,200,M173AE
875,62,E927FD
876,33,B340NY
877,46,A897SW
878,175,R373OR
879,114,S635RI
880,215,M571PF
881,25,L662NZ
882,33,J522JQ
883,48,A233GS
884,91,D168DJ
885,92,D389BL
886,44,O890JO
887,33,R278AT
888,184,K010WO
889,126,B594SJ
890,186,Q004OQ
891,157,P249OF
892,53,G573WO
893,22,H197NP
894,205,E008AO
895,103,U236MR
896,78,A800PG
897,42,F033IT
898,33,T860VS
899,155,E162KI
900,192,K041QA
901,106,N278PY
902,50,N388YR
903,166,C170DP
904,76,A831GN
905,39,F355OO
906,34,T616KB
907,182,E196TX
908,97,V627UC
909,226,F497LK
910,43,T756XE
911,25,I488JH
912,34,R302AQ
913,83,C083FN
914,93,K321OG
915,35,W230OO
916,40,D476PT
917,185,H525NQ
918,117,O229KK
919,204,J300YP
920,179,G025PW
921,37,P304QU
922,16,D934KY
923,251,H735BE
924,77,Q329ZG
925,109,F132NG
926,38,P920GH
927,40,K336ND
928,144,L214GI
929,236,P204JC
930,102,S784OT
931,43,Y926LW
932,165,O813BC
933,71,M270ID
934,61,O771JJ
935,46,N623ZR
936,194,U228UL
937,98,J965LT
938,252,S243IH
939,33,R888FF
940,63,V325NB
941,37,K307LI
942,66,B827JF
943,103,G621WA
944,52,T411ZG
945,32,M438TJ
946,172,H038NS
947,121,G839HP
948,171,M406ZF
949,193,L569NH
950,57,S828LM
951,9,W907OC
952,228,L241FF
953,78,R586WE
954,116,E136PC
955,44,V410CM
956,37,K142VB
957,114,C199EI
958,215,A389AN
959,107,Z661OT
960,47,T969RP
961,148,E531JI
962,56,C301KR
963,34,L616WC
964,62,N306NK
965,170,Q649OP
966,110,E937NY
967,238,A834XK
968,31,U417PT
969,75,I819CS
970,56,C924JJ
971,77,P524BG
972,124,U527AE
973,37,Z336RD
974,47,Y293RB
975,164,P984FJ
976,100,B230VW
977,154,R068UC
978,164,A429ST
979,79,J690PV
980,13,K030TX
981,203,B555BM
982,69,L176GH
983,129,Q037DD
984,79,K769DG
985,32,A720PQ
986,121,I712FL
987,211,N841CG
988,69,A322WX
989,60,Y735WP
990,163,B715JI
991,62,I252JI
992,28,T130TH
993,34,O171QH
994,216,L259WQ
995,100,I086SV
